symbol,group,barca,target_percent,current_quantity
USDT,Holding,Base,30,7217
USDT,Holding,Caixa,20,1.33662016
AAVE,Holding,Altcoins,1,15.39511
ADA,Holding,Altcoins,0.5,3882.90300017
ALGO,Holding,Altcoins,0.5,6415.518
ASTR,Holding,Altcoins,0.5,4457.1563
ATOM,Holding,Altcoins,1,327.619
Aurora,Holding,Altcoins,0,0
BGB,Holding,Altcoins,0,0
BLOCK,Holding,Altcoins,0.2,18524.6800592
BLOCKAsset,Holding,Altcoins,0.1,2933.1127298
BTC,Holding,Base,55,1.04502
CKB,Holding,Altcoins,0.5,191559.01348553
DOT,Holding,Altcoins,1,638.54793
DYDX,Holding,Altcoins,0.5,772.83772556
ETH,Holding,Altcoins,10,8.89223
FET,Holding,Altcoins,1,2992.57173221
S,Holding,Altcoins,0.2,1079.7163588
GALA,Holding,Altcoins,0.2,21340.25
GT,Holding,Altcoins,0,0.6520138
IMX,Holding,Altcoins,0,0
Link,Holding,Altcoins,2,700.81342
NEAR,Holding,Altcoins,1,1718.56758157
POL,Holding,Altcoins,1,5954.6351
RMRK,Holding,Altcoins,0.4,3094.16935844
SAND,Holding,Altcoins,0,0
SCRT,Holding,Altcoins,0.1,369.3566038
SFI,Holding,Altcoins,0.1,998.620392
SFUND,Holding,Altcoins,0.1,0
SOL,Holding,Altcoins,2,22.52807627
ARC,Holding,Altcoins,0,0
TIA,Holding,Altcoins,0,0
UOS,Holding,Altcoins,0.4,9951.3440976
xrd,Holding,Altcoins,0.5,69611.301046
ZIL,Holding,Altcoins,0.1,13165.78
USDT,Trading,Caixa,30,824.03060846
AAVE,Trading,Altcoins,3,0.779
ADA,Trading,Altcoins,0.5,0
ALGO,Trading,Altcoins,1,0
ASTR,Trading,Altcoins,0.5,0
ARC,Trading,Altcoins,1,917.56077
ATOM,Trading,Altcoins,0.5,117.678414
Aurora,Trading,Altcoins,0.5,1471.98498
BGB,Trading,Altcoins,0,7.39143215
BLOCK,Trading,Altcoins,0,0
BLOCKAsset,Trading,Altcoins,0,0
BTC,Trading,Base,14,0.00961336
CKB,Trading,Altcoins,2,4395.53161
DOT,Trading,Altcoins,2,16.5134216
DRIFT,Trading,Altcoins,0.5,0
DYDX,Trading,Altcoins,0.2,511.2833591
ETH,Trading,Altcoins,10,0.62959644
FET,Trading,Altcoins,3,854.472
FLOKI,Trading,Altcoins,0.2,0
GALA,Trading,Altcoins,0.2,5472.9293922
GRIFFAIN,Trading,Altcoins,0.5,858.11103
GRIFT,Trading,Altcoins,0,0
IMX,Trading,Altcoins,0.5,217.30138
GT,Trading,Altcoins,0,0
Link,Trading,Altcoins,3,24.442868
MNT,Trading,Altcoins,0,0.07529214
NEUR,Trading,Altcoins,0.2,0
NEAR,Trading,Altcoins,2,224.42913
PAAL,Trading,Altcoins,0.2,652.347
PENDLE,Trading,Altcoins,2,73.54
POL,Trading,Altcoins,2,516.99696
PRCL,Trading,Altcoins,0.2,0
PRIME,Trading,Altcoins,0.2,0
PYTH,Trading,Altcoins,0.2,929.41965
RAY,Trading,Altcoins,0,0.48197
RENDER,Trading,Altcoins,2,0.00802
RMRK,Trading,Altcoins,0,0
S,Trading,Altcoins,0.5,0
SAND,Trading,Altcoins,0.5,846.3602988
SCRT,Trading,Altcoins,0.2,0
SEKOIA,Trading,Altcoins,0.2,0
SFI,Trading,Altcoins,0.2,0
SFUND,Trading,Altcoins,0.2,491.76273
SNAI,Trading,Altcoins,0.2,0
SOL,Trading,Altcoins,10,0.2693898
STX,Trading,Altcoins,0.5,0
SPEC,Trading,Altcoins,0.5,0
TAI,Trading,Altcoins,0.2,549.3501
TIA,Trading,Altcoins,0.2,93.19671
TON,Trading,Altcoins,0.2,0
UOS,Trading,Altcoins,0,0
UMA,Trading,Altcoins,0.2,0
UNI,Trading,Altcoins,0,0
VIRTUAL,Trading,Altcoins,2,0
XRD,Trading,Altcoins,1,13082.81147
ZIL,Trading,Altcoins,1,16770.287
USDT,DeFi,Caixa,0,2064.71
SOL,DeFi,RendaPassiva,60,28.50
USDT,DeFi,RendaPassiva,0,-1221.00
USDT,DeFi,RendaPassiva,40,1710.6947
BTC,DeFi,RendaPassiva,0,0.0785
ETH,DeFi,RendaPassiva,0,0.19995824
